body,brand,cit,color,gear,price,usage,year
۷۲٫۰۰۰,پژو 405 GLX بنزینی,مشهد، قاسم آباد (شهرک غرب),۶۴٫۹۰۰٫۰۰۰ تومان,,,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,پژو 405 GLX بنزینی,مشهد، طبرسی,نقره‌ای,دنده‌ای,۱۵۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
چند لکه رنگ,پژو 405 GLX بنزینی,مشهد، طلاب,نقره‌ای,دنده‌ای,۳۱٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,۲۰۰۵ - ۱۳۸۴
بدون رنگ,پژو 405 GLX بنزینی,مشهد، جانباز,نقره‌ای,دنده‌ای,۱۲۰٫۰۰۰,,۲۰۱۳ - ۱۳۹۲
چند لکه رنگ,پژو 405 GLX بنزینی,مشهد، موسوی قوچانی,خاکستری,دنده‌ای,۳۰٫۰۰۰٫۰۰۰ تومان,۱۲۵٫۰۰۰,۲۰۱۱ - ۱۳۹۰
دنده‌ای,پژو 405 GLX بنزینی,مشهد، سید رضی,نقره‌ای,۶۲٫۵۰۰٫۰۰۰ تومان,۶۵٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,پژو 405 GLX بنزینی,مشهد، ۱۷ شهریور,خاکستری,دنده‌ای,۳۰۰,,۲۰۱۹ - ۱۳۹۸
تک برگی,پژو 405 GLX بنزینی,کرمانشاه,بدون رنگ,۶۵٫۰۰۰٫۰۰۰ تومان,۶۵٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پژو 405 GLX بنزینی,کرمانشاه,نقره‌ای,دنده‌ای,۴۲٫۰۰۰٫۰۰۰ تومان,آینه تاشو برقی,۲۰۰۵ - ۱۳۸۴
۶۹٫۰۰۰٫۰۰۰ تومان,پژو 405 GLX بنزینی,کرمانشاه,تک برگی,۵۰٫۰۰۰,,,۲۰۱۷ - ۱۳۹۶
چند لکه رنگ,پژو 405 GLX بنزینی,کرمانشاه,نقره‌ای,دنده‌ای,۴۷٫۰۰۰٫۰۰۰ تومان,۱۵۶٫۰۰۰,۲۰۱۲ - ۱۳۹۱
