body,brand,cit,color,gear,price,usage,year
دنده‌ای,سمند LX EF7 گازسوز,تهران، چیتگر,بدون رنگ,۵۴٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، صندلی برقی,۲۱۵٫۰۰۰,۲۰۱۰ - ۱۳۸۹
بدون رنگ,سمند LX ساده,تهران، ورامین,نقدی,دنده‌ای,توافقی,۳۷٫۰۰۰,۲۰۱۷ - ۱۳۹۶
دو برگی,سمند LX EF7 گازسوز,تهران، ازگل,بدون رنگ,۱۱۸٫۰۰۰,,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX EF7 گازسوز,تهران، لویزان,سفید,دنده‌ای,۴۳٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX EF7 گازسوز,تهران، اوقاف,سفید,دنده‌ای,۶۵٫۰۰۰٫۰۰۰ تومان,۱۵۱٫۰۰۰,۲۰۱۲ - ۱۳۹۱
بدون رنگ,سمند LX EF7 بنزینی,تهران، شهریار,خاکستری,دنده‌ای,۷۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۴ - ۱۳۹۳
۵۷٫۰۰۰٫۰۰۰ تومان,سمند LX EF7 بنزینی,تهران، تهرانپارس شرقی,دنده‌ای,۱۹۵,,,۲۰۱۱ - ۱۳۹۰
بدون رنگ,سمند LX EF7 بنزینی,تهران، پیروزی,سفید,دنده‌ای,۸۴٫۰۰۰٫۰۰۰ تومان,۵۱٫۰۰۰,۲۰۱۷ - ۱۳۹۶
دنده‌ای,سمند LX ساده,تهران، يافت‌آباد,نقره‌ای,صندلی برقی,۲۸۴٫۰۰۰,,۲۰۰۹ - ۱۳۸۸
بدون رنگ,سمند LX ساده,تهران، تهران‌سر,سفید,دنده‌ای,۲۰۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
,سمند LX ساده,تهران، شهر قدس,,,,,۲۰۰۹ - ۱۳۸۸
,سمند LX ساده,کرج، باغستان,,,,,۲۰۰۳ - ۱۳۸۲
بدون رنگ,سمند LX EF7 گازسوز,کرج، شهر جدید هشتگرد,سفید,دنده‌ای,۶۲٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
دنده‌ای,سمند LX EF7 بنزینی,تهران، آذربایجان,بدون رنگ,۵۵٫۰۰۰٫۰۰۰ تومان,۱۴۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
چند لکه رنگ,سمند LX ساده,کرج، فردیس,بژ,دنده‌ای,۲۰٫۰۰۰٫۰۰۰ تومان,۱۰۰٫۴۰۰,۲۰۰۵ - ۱۳۸۴
,سمند LX EF7 گازسوز,کرج، هشتگرد,۳۵٫۰۰۰,,,,۲۰۱۷ - ۱۳۹۶
دنده‌ای,سمند LX ساده,کرج، عظیمیه,نقدی,توافقی,سنسور عقب و جلو,۱۱۱٫۰۰۰,۲۰۱۴ - ۱۳۹۳
بدون رنگ,سمند LX EF7 گازسوز,کرج، شهر جدید اندیشه,سفید,دنده‌ای,۸۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,سمند LX ساده,کرج، گلشهر,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,سمند LX EF7 بنزینی,کرج، شهر جدید اندیشه,خاکستری,دنده‌ای,۷۲٫۰۰۰٫۰۰۰ تومان,صندلی برقی,۲۰۱۴ - ۱۳۹۳
بدون رنگ,سمند LX ساده,کرج، مهرشهر,سفید,دنده‌ای,۷۳٫۰۰۰٫۰۰۰ تومان,کولر دوال ، صندلی برقی,۲۰۱۶ - ۱۳۹۵
۹۵٫۰۰۰,سمند LX EF7 بنزینی,کرج، مارلیک,۷۲٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۶ - ۱۳۹۵
دنده‌ای,سمند LX ساده,کرج، دهقان ویلا,خاکستری,۳۰,,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,سمند LX EF7 بنزینی,کرج، عظیمیه,سفید,دنده‌ای,۷۵٫۰۰۰٫۰۰۰ تومان,۵۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
چند لکه رنگ,سمند LX ساده,کرج، کمالشهر,قرمز,دنده‌ای,۳۵٫۳۰۰٫۰۰۰ تومان,۲۲۰٫۰۰۰,۲۰۰۶ - ۱۳۸۵
۰,سمند LX ساده,کرج، جهانشهر,توافقی,,,,۲۰۱۹ - ۱۳۹۸
