body,brand,cit,color,gear,price,usage,year
یک لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۳۴٫۰۰۰٫۰۰۰ تومان,کولر دوال ، آینه تاشو برقی,۲۰۰۲ - ۱۳۸۱
چند لکه رنگ,پژو پارس ساده,تبریز,خاکستری,دنده‌ای,۵۶٫۰۰۰٫۰۰۰ تومان,۱۵۰٫۰۰۰,۲۰۱۰ - ۱۳۸۹
دو لکه رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۳۲۰٫۰۰۰,,۲۰۰۳ - ۱۳۸۲
دو لکه رنگ,پژو پارس ساده,تبریز,نوک‌مدادی,دنده‌ای,۳۸٫۰۰۰٫۰۰۰ تومان,۴۰۰,۲۰۰۲ - ۱۳۸۱
۵۹٫۰۰۰٫۰۰۰ تومان,پژو پارس ساده,تبریز,دنده‌ای,۲۰۰,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو پارس ساده,تبریز,نقره‌ای,دنده‌ای,۵۷٫۰۰۰٫۰۰۰ تومان,۱۶۹٫۰۰۰,۲۰۰۹ - ۱۳۸۸
بدون رنگ,پژو پارس ساده,اهواز، شهرک نفت,خاکستری,دنده‌ای,۵۵٫۰۰۰٫۰۰۰ تومان,آینه تاشو برقی,۲۰۰۶ - ۱۳۸۵
تک برگی,پژو پارس ساده,اهواز، کمپلو جنوبی (کوی انقلاب),چند لکه رنگ,۵۵٫۰۰۰٫۰۰۰ تومان,۱٫۱۱۱,,۲۰۰۹ - ۱۳۸۸
دنده‌ای,پژو پارس ساده,اهواز، گلستان,چند لکه رنگ,۴۶٫۰۰۰٫۰۰۰ تومان,۱۵۰,,۲۰۰۶ - ۱۳۸۵
دنده‌ای,پژو پارس ساده,اهواز، رسالت,بدون رنگ,۵۷٫۰۰۰٫۰۰۰ تومان,۱۶۸٫۰۰۰,,۲۰۰۹ - ۱۳۸۸
بدون رنگ,پژو پارس ساده,اهواز، زرگان,سفید,دنده‌ای,۱,,۲۰۱۳ - ۱۳۹۲
بدون رنگ,پژو پارس ساده,اهواز، کیانشهر,سفید,دنده‌ای,۵۵٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰,۲۰۰۸ - ۱۳۸۷
,پژو پارس ساده,اهواز، فاز دو پاداد,۰,,,,۲۰۰۶ - ۱۳۸۵
,پژو پارس ساده,اهواز، زیتون کارمندی,۲,,,,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو پارس ساده,اهواز، نادری,نقدی,دنده‌ای,توافقی,آینه تاشو برقی,۲۰۰۶ - ۱۳۸۵
۱۳۰,پژو پارس ساده,اهواز، کمپلو جنوبی (کوی انقلاب),۵۲٫۰۰۰٫۰۰۰ تومان,,,,۲۰۰۹ - ۱۳۸۸
